[2022-02-08 17:46:24,973] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-02.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-02.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:25,048] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2020-02.parquet deleted.
[2022-02-08 17:46:25,050] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-03.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-03.parquet
[2022-02-08 17:46:25,201] {gcs.py:251} INFO - Total Bytes: 144113501 | Bytes Written: 144113501
[2022-02-08 17:46:25,202] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-03.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-03.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:25,267] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-03.parquet deleted.
[2022-02-08 17:46:25,268] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-10.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-10.parquet
[2022-02-08 17:46:25,421] {gcs.py:251} INFO - Total Bytes: 130950231 | Bytes Written: 130950231
[2022-02-08 17:46:25,423] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-10.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-10.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:25,487] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-10.parquet deleted.
[2022-02-08 17:46:25,488] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-06.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-06.parquet
[2022-02-08 17:46:25,663] {gcs.py:251} INFO - Total Bytes: 126726779 | Bytes Written: 126726779
[2022-02-08 17:46:25,664] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-06.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-06.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:25,731] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-06.parquet deleted.
[2022-02-08 17:46:25,732] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2020-01.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2020-01.parquet
[2022-02-08 17:46:25,865] {gcs.py:251} INFO - Total Bytes: 116228546 | Bytes Written: 116228546
[2022-02-08 17:46:25,866] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-01.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-01.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:25,928] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2020-01.parquet deleted.
[2022-02-08 17:46:25,929] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-07.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-07.parquet
[2022-02-08 17:46:26,049] {gcs.py:251} INFO - Total Bytes: 115534598 | Bytes Written: 115534598
[2022-02-08 17:46:26,051] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-07.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-07.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:26,137] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-07.parquet deleted.
[2022-02-08 17:46:26,139] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-12.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-12.parquet
[2022-02-08 17:46:26,280] {gcs.py:251} INFO - Total Bytes: 125360614 | Bytes Written: 125360614
